Order ID,Order Date,Ship Date,EmailID,Geography
CA-2013-138688,6/13/2013,6/17/2013,DarrinVanHuff@gmail.com,"United States,Los Angeles,California"
CA-2011-115812,6/9/2011,6/14/2011,BrosinaHoffman@gmail.com,"United States,Los Angeles,California"
CA-2011-115812,6/9/2011,6/14/2011,BrosinaHoffman@gmail.com,"United States,Los Angeles,California"
CA-2011-115812,6/9/2011,6/14/2011,BrosinaHoffman@gmail.com,"United States,Los Angeles,California"
CA-2011-115812,6/9/2011,6/14/2011,BrosinaHoffman@gmail.com,"United States,Los Angeles,California"
CA-2011-115812,6/9/2011,6/14/2011,BrosinaHoffman@gmail.com,"United States,Los Angeles,California"
CA-2011-115812,6/9/2011,6/14/2011,BrosinaHoffman@gmail.com,"United States,Los Angeles,California"
CA-2011-115812,6/9/2011,6/14/2011,BrosinaHoffman@gmail.com,"United States,Los Angeles,California"
CA-2013-161389,12/6/2013,12/11/2013,IreneMaddox@gmail.com,"United States,Seattle,Washington"
CA-2011-167164,5/13/2011,5/15/2011,AlejandroGrove@gmail.com,"United States,West Jordan,Utah"
CA-2011-143336,8/27/2011,9/1/2011,ZuschussDonatelli@gmail.com,"United States,San Francisco,California"
CA-2011-143336,8/27/2011,9/1/2011,ZuschussDonatelli@gmail.com,"United States,San Francisco,California"
CA-2011-143336,8/27/2011,9/1/2011,ZuschussDonatelli@gmail.com,"United States,San Francisco,California"
CA-2012-106320,9/25/2012,9/30/2012,EmilyBurns@gmail.com,"United States,Orem,Utah"
CA-2013-121755,1/16/2013,1/20/2013,EricHoffmann@gmail.com,"United States,Los Angeles,California"
CA-2013-121755,1/16/2013,1/20/2013,EricHoffmann@gmail.com,"United States,Los Angeles,California"
CA-2013-101343,7/18/2013,7/23/2013,RubenAusman@gmail.com,"United States,Los Angeles,California"
CA-2012-135545,11/24/2012,11/30/2012,KunstMiller@gmail.com,"United States,Los Angeles,California"
CA-2012-135545,11/24/2012,11/30/2012,KunstMiller@gmail.com,"United States,Los Angeles,California"
CA-2012-135545,11/24/2012,11/30/2012,KunstMiller@gmail.com,"United States,Los Angeles,California"
CA-2012-135545,11/24/2012,11/30/2012,KunstMiller@gmail.com,"United States,Los Angeles,California"
CA-2011-106376,12/5/2011,12/10/2011,BrendanSweed@gmail.com,"United States,Gilbert,Arizona"
CA-2011-106376,12/5/2011,12/10/2011,BrendanSweed@gmail.com,"United States,Gilbert,Arizona"
CA-2011-139451,10/12/2011,10/16/2011,DuaneNoonan@gmail.com,"United States,San Francisco,California"
CA-2011-139451,10/12/2011,10/16/2011,DuaneNoonan@gmail.com,"United States,San Francisco,California"
CA-2013-109806,9/18/2013,9/23/2013,JimSink@gmail.com,"United States,Los Angeles,California"
CA-2013-109806,9/18/2013,9/23/2013,JimSink@gmail.com,"United States,Los Angeles,California"
CA-2013-109806,9/18/2013,9/23/2013,JimSink@gmail.com,"United States,Los Angeles,California"
US-2014-109484,11/7/2014,11/13/2014,RogerBarcio@gmail.com,"United States,Portland,Oregon"
CA-2014-157833,6/18/2014,6/21/2014,KatherineDucich@gmail.com,"United States,San Francisco,California"
US-2012-156867,11/13/2012,11/17/2012,LenaCacioppo@gmail.com,"United States,Aurora,Colorado"
US-2012-156867,11/13/2012,11/17/2012,LenaCacioppo@gmail.com,"United States,Aurora,Colorado"
US-2012-156867,11/13/2012,11/17/2012,LenaCacioppo@gmail.com,"United States,Aurora,Colorado"
CA-2012-110457,3/2/2012,3/6/2012,DaveKipp@gmail.com,"United States,Seattle,Washington"
US-2014-107272,11/6/2014,11/13/2014,TroyStaebel@gmail.com,"United States,Phoenix,Arizona"
US-2014-107272,11/6/2014,11/13/2014,TroyStaebel@gmail.com,"United States,Phoenix,Arizona"
US-2013-125969,11/7/2013,11/11/2013,LindsayShagiari@gmail.com,"United States,Los Angeles,California"
US-2013-125969,11/7/2013,11/11/2013,LindsayShagiari@gmail.com,"United States,Los Angeles,California"
CA-2013-145583,10/14/2013,10/20/2013,LenaCreighton@gmail.com,"United States,Roseville,California"
CA-2013-145583,10/14/2013,10/20/2013,LenaCreighton@gmail.com,"United States,Roseville,California"
CA-2013-145583,10/14/2013,10/20/2013,LenaCreighton@gmail.com,"United States,Roseville,California"
CA-2013-145583,10/14/2013,10/20/2013,LenaCreighton@gmail.com,"United States,Roseville,California"
CA-2013-145583,10/14/2013,10/20/2013,LenaCreighton@gmail.com,"United States,Roseville,California"
CA-2013-145583,10/14/2013,10/20/2013,LenaCreighton@gmail.com,"United States,Roseville,California"
CA-2013-145583,10/14/2013,10/20/2013,LenaCreighton@gmail.com,"United States,Roseville,California"
